Title,Description,Permalink,Post type,People reached,Comments,Likes,Shares,Engagements,Link clicks,Photo views,Other clicks,Total clicks
,"#旅游kaki 
下半年超大型 #MITM旅游展 
28-30/7📆 Mid Valley Exhibition Centre
最划算的各国旅游配套✨在这找🔥

正在规划下半年旅游的你，来咯～ #超大型旅游【MITM TRAVEL FAIR】要开跑啦✨️
📆7月28日至30日，就在Mid Valley Exhibition Centre重磅回归💪全场最低价、最划算、最优惠的旅游配套‼ ️就在这里找🔥
.
在这里可以一次过逛完各个国家🌍包括国内的槟城、沙巴，再到国外的菲律宾、日本、韩国、台湾和泰国等❗️直接现场货比三家，买到 #最经济实惠的配套，太方便了✌️！ 
旅游展现场将推出：
🌏 国内外超值旅游优惠配套
🎫 特价机票
⛴️ 邮轮
🏰 酒店住宿
⛩️ 热门景点门票
👉 还有更多‼ ️
.
这次旅游展更有 #超过300多家参展单位 阵容强劲🔥还有专业团队会在场，1对1为你推荐最合适你的旅行配套✈️
┏━━━━━━━━━━━━━━━━━━━━┓
【 <MITM TRAVEL FAIR >马来西亚国际旅游展 】
📅2023年7月28日至30日（星期五-日）
⏰10am – 9pm 
📍 Mid Valley Exhibition Centre
🎫 #入场免费
┗━━━━━━━━━━━━━━━━━━━━┛
.
凡是到现场消费的kaki，都有机会赢取总值高达RM250,000的奖品🎁！
逛一个地方，买ALL IN的配套🔥 直接省时省事又省力😌带上朋友、家人或另一半都没问题！
.
【  <MITM TRAVEL FAIR >马来西亚国际旅游展 】
Facebook：https://www.facebook.com/mitmtravelfair/
Website：http://www.mitmtravelfair.com
.
✏️credit: #大码小编",https://www.facebook.com/myeatkaki/posts/pfbid02LeFmi7uWg52qAx9mKJGHKnKez95k9caPRdmMMWY15MVWCBmYVaxdmvRELL8ubcdBl,Photo,198629,6,85,15,106,14,2017,785,2814
,"#揾食kaki 
云顶半山📍营业24hr大排档🔥
吹冷风喝热汤！多种热食饮料选择😍
.
很常去 #云顶吹风 的kaki肯定不会不知道就在📍半山的【 @66 Corner, Gohtong Jaya, Genting Highlands, Pahang 】这家营业24小时的大排档🔥云顶山上吃东西太贵，来半山半夜都能 #填饱肚子的好地方🤩
.
店内的热食选择多到，带一大群朋友来都吃不完的美食😂
✅必点的招牌 #虾面🦐
✅喝了暖胃又上头的 #辣汤啦啦 & #辣汤啦啦米
✅烧腊饭
✅干捞面
✅猪肠粉
✅点心
✅小吃类
✅每天熬煮的糖水 - 薏米腐竹、红豆沙、雪耳莲子等！
.
另外还有超多串串选择的loklok小档口，可以自己烫清汤/tomyum汤or给他们炸！热腾腾的串串不要忘了还可以拿来沾上他们准备的3种不同酱料（甜酱/辣酱/satay酱）！真的是太美味了🤤
别再说云顶没东西吃啦，原来半山藏了这么好料，你真的不能不知道🚗🔥
.
【 Kedai Makanan 66 Lok Lok Corner Restaurant 】
📍 46, Jalan Jati 1, Taman Gohtong Jaya, 69000 Genting Highlands, Pahang
🕕 24 小时 不打烊
.
Facebook: https://www.facebook.com/profile.php?id=100029337716893
Instagram: https://www.instagram.com/explore/tags/66cornergohtongjaya/?hl=en
.
✏️Credit: #大码小编
📷Photo: Xin Tong
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid029FyHGnn7kYaQiyzfZVZucWVkUS63ozCEFBVVuvbxVhiqvpq9ShKdyhZSvzaC3jPBl,Photo,191677,148,1423,318,1889,45,19504,12518,32067
,"#揾玩kaki
金宝📍 RM50平价度假村！
骑马➕极限挑战➕射箭
.
#Kampar 终于有新景点啦～ 😍如果这个星期有打算北上，又不想去塞车人多的地方？小编推荐你去金宝2️⃣日游啦～
.
金宝除了是 #美食天堂，如今又多了个新景点——✨【Embun Resort Lake Sahom度假村】✨，仅需RM50就能享受独特体验！这里除了有超大泳池外，还有超多户外活动：
✅骑马
✅钓鱼
✅骑脚踏车穿梭在山间小道
✅射箭
✅寻宝
✅极具挑战性
.
超适合一大班朋友，或家人一起来度假啦～
【Embun Resort Lake Sahom】
📍地址：31850 Kampung Sahom, 31850 Kampar, Perak
🚗走起：https://petalmaps.life/2p88cwka
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 Eclbet   ]",https://www.facebook.com/myeatkaki/posts/pfbid0tu2RBomwEkfNjLbd4ohW3n9eoYTmuGoWvchrT7Ld5G11KvXFYV8Y5B84Aad2f5Spl,Photo,190026,385,1064,766,2215,294,12675,3292,16261
安邦超值中国菜🇨🇳 3人吃不到RM100🔥,"#揾食kaki 
安邦超值中国菜🇨🇳
3人吃不到RM100🔥
.
平常跟朋友出去叫菜叫饭吃，是不是一个人至少要出RM50-60😩吃到也不过瘾～
来来来～不要说没有介绍你好康🤩
这次挖到一家在Ampang📍Pandan Indah的 #中国餐馆🇨🇳【 聚福园火锅Ju Fu Yuan Steamboat 】，3个人叫4样菜，竟然才不到RM100‼️
.
这家餐厅有多样的中国菜色可以选择，不管是凉拌类、肉类主食、麻辣、酸菜土豆丝等，等分量都超足👍 而且味道也超道地，让人想要不停的一口接一口！实在是太下饭了🍚
.
另外这里还提供了 #东北火锅🍲！喜欢吃锅的kaki，可以来这里大快朵颐了啦🤤 
这么划又便宜的餐馆，当然就是叫越多人来吃才划算啦🤤 都call出来吃饭咯～
.
【 聚福园火锅Ju Fu Yuan Steamboat 】
📍32, Jalan Pandan Indah 4/6a, Pandan Indah 55100 Malaysia，Ampang，Selangor
🕕14:00 - 22:00
📱018-210 3339
Facebook: https://www.facebook.com/jufuyuansteamboat
.
✏️Content Creator： #大码小编
🎤Host： #大码小编
📹 Videographer：Xin Tong
🎬Editor：Xin Tong
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0Y9kNt3kCJVW4KTpZPJXxB7dbCv8p2oCwCxq6MadpJ2rMzoESoXJ4gGquTheQzzZDl,Video,188131,118,815,403,1336,52,,9843,15145
,"#揾食kaki
Cheras📍要预约🔥 才吃到 ❗️
住家海鲜烧烤🦞比你头还大❗️
.
每次来到Cheras吃海鲜烧烤，你们一定要想起 #老爸子！😍
海鲜的size真的没有跟你开玩笑咯！
·
新menu #椒盐烤sotong🦑竟然跟叮小编的上半身一样长，这个煮法不失sotong本身的鲜味，而且超有嚼劲👅 #牛油烤特大深海野生虾🦐竟然比手掌还要大！你能想象一咬下去肉的时候有多鲜嫩吗，想到都流口水…🤤 
.
#奶油汁肉蟹🦀️Size大也是肉眼可见的！里面的肉也很丰满，搭配自家的奶油汁吃下去omg真的超满足🔥还有 #大鲜蛤 siham跟手掌一样大，搭配它们家的酸辣酱吃下去根本就是绝美搭配！🥹
·
喜欢喝汤的kaki必点这个 #上汤海鲜煲🫕 里面🈶️大头虾、明虾、sotong、啦啦、斑鱼片✨汤底非常清，可是又喝得出超浓的鲜味！🤩这里还可以叫菜吃饭哦～ 很推荐他们家 #虾米香辣烤鸡肉鱼🐟 鱼肉很紧实，而且搭配铺满在鱼上面的辣椒🌶️超级好下饭！
·
分量其实蛮大的，多人来吃更划算，也才可以吃到更多种类的海鲜哦～
记得提前WhatsApp信息message了才过来吃😘
🔗 http://wa.link/oh9t1i
 .
 【老爸子海鲜烧烤】
 📍32, Jalan Mutiara Barat 5, Taman Mutiara Barat, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur
 🕕 5pm-10pm (Thursday Closed)
 📱0102861613
 .
 ✏️credit: Xin Tong
 📷Photo: Xin Tong
 记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0fo2pFSaJiWdr8LztpQenEZkRqdoqQoQBGkMBJbMeLYYi5U8acRAzdNAzJLVQekURl,Photo,179733,158,1146,428,1732,893,19059,13363,32912
,"#饮料Kaki 
CHAGEE📍新推香水柠檬茶系列🥤
沉饮柠静🍋喝上一杯让你享受宁静～
.
香水柠檬🍋本来就是一个超级解渴又富有维生素的水果，但如果配上不同款的茶类，会擦出什么样的火花呢💥
超人气的茶饮店【 CHAGEE MY 霸王茶姬  】这次首次推出✨3款 #香水柠檬系列的茶饮，将会使用不同的茶低去做搭配，除了可以喝到茶香味后劲还带出香水柠檬的酸甜清香~️ 喝上一口仿佛让人得到了一阵的宁静～
.
[ #香水柠檬茶系列 Sip into Serenity ]
🥤『Da Hong Pao Perfume Lemon Tea 大红袍柠檬茶』
🥤『Jasmine Perfume Lemon Tea 茉莉雪芽柠檬茶』
🥤『Camellia Oolong Perfume Lemon Tea 山茶乌龙柠檬茶』
这3⃣️款饮料可是使用了高品质的茶叶➕香水柠檬，混搭成 #舒适口感 的结合‼️
.
限时 #Lazada优惠活动🔥可以这样便宜买到新饮品😍：
👉即日起都可以到Lazada购买到「 #买一送一 」or「 #一杯只要RM9.90 」的优惠卷❗️
🔗Lazada链接：https://s.lazada.com.my/s.gCbsl
⚠️到店兑卷时需使用 CHAGEE mini program link： 
https://miniprogram.chagee.com.my/miniprogram/app/login?ref=MEDIA-M0005
.
这3款饮料绝对适合带去朋友聚会、去海边🌊、露营⛺️，甚至是运动暴汗后，或是工作烦躁都得叫上一杯😍不但能给你一阵平静舒爽的口感，还可以顺便补充Vitamin C👍
即日起在各大门市都可以叫上一杯🔥走咯～让自己沉饮柠静～calm down下来吧～
.
【 CHAGEE MY 霸王茶姬 】
📌全马分行：https://chagee.com.my/store-locator/
Facebook: https://www.facebook.com/my.chagee
Instagram: https://www.instagram.com/my.chagee/
.
✏️Credit: #大码小编
📷Photo: #咩小编 & Xin Tong
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！

#CHAGEE #CHAGEESIPINTOSERENITY #CHAGEELEMONTEA #CHAGEEPERFUMELEMON",https://www.facebook.com/myeatkaki/posts/pfbid02Stcbra7j1JZzVafqk6V4ffJcgAdC2hwGWKngtYsRhLi1m74abzg4LTAdNBMDNbKVl,Photo,177230,339,1220,406,1965,1412,19945,16804,38161
,"#好康kaki
HP年中清仓降价大促销🔥
有买有送！加购促销RM1买HP鼠标‼️
.
电脑Lag到不行，想换新电脑❓❓
千万别错过 #只有4天 的 #HP年中清仓限时促销 啦🔥 这次将会在 #2个地点举办大型促销展，一个在📍KL的Plaza Lowyat 和 另一个在📍PJ的Digital Mall🤩🤩
kaki们可以选择：
✅ 去靠近自己的地点 
✅ 人群分散，不怕人挤人
✅ 同时享受到一样的优惠😍😍
.
【HP年中清仓限时促销💻】
📍清仓促销地址：Plaza Lowyat & Digital Mall
📅清仓促销日期：2023年8月3日 - 6日（只有4天）
.
当天会有许多惊人优惠&拿礼物🎁，还可以现场看model再下决定买，真的很抵😍
✨各种电子产品大降价💰⚡️💰⚡️
✨送高达RM200折扣卷👉 在Ground Floor Redemption Booth领取
✨送2D1N Tasik Villa International Resort, Port Dickson礼卷🎉
✨只需RM999‼️就能入手 HP Athlon 15-fc0101AU/ fc0102AU Laptop（仅限6台/天）
👉 优惠卷需要在Ground Floor Redemption Booth领取
✨有买有送🔥 只要购买任何HP笔记本，就能 #免费获得雨伞和现金劵🌂
✨ #加购促销 只需RM1😍，就能获得指定HP滑鼠和优惠高达50%折扣的HyperX耳机！
.
#先到先得，赶紧确认好要买什么型号的手提电脑💻
再JIO一班朋友👫，一起到现场买、买、买‼️
.
【HP年中清仓限时促销💻】
📍地址：Plaza Lowyat & Digital Mall
📅促销日期：2023年8月3日 - 6日（只有4天）
⏰营业时间：10am - 10pm
.
✏️Content Creator: #咩小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0KAJoUcBwe7M7ycKZCYm15UPTqxB5M2k2Vdgmdv9YmvnnqaLFhVBMt6yMqmMtmkwdl,Photo,176220,7,236,26,269,2,4484,1174,5642
,"#夜蒲kaki 
KL新开Las Vegas风夜店🔥
【7月21-22日引爆全场💥💥💥】
高级音响🎵大型蹦迪舞池🪩
.
还在家里自己那边「我没k～我没k～」摇摆，就真的太无聊了‼️ 不如赶紧jio你的kaki一起到KL📍夜蒲新据点【 Pitt Club KL 】‼️ 里面的音响、灯光、氛围，confirm让你high到不像话！跟大家一起「恐龙扛狼扛狼扛」💃🪩💃🪩💃🪩
.
最受瞩目的就是他们把Las Vegas最高级的Night Club带到这里❗️让你感受到奢华又狂欢的PARTY🎉 场地拥有15k sq.ft大❗️而且还拥有 #超先进的音响设备，特别专门邀请了西班牙公司🇪🇸引入最TOP的系统‼️ 再搭配超炫的上下升降LED 灯光，进去整个 #视觉和听觉 真的会让你不知觉身体都摇摆起来🔥🔥🔥
.
这里不时还会邀请 #国际DJ 来站台打碟❗️同时还会有不同的好康活动等你来亲身体验🤩
【 Pitt Club KL 】即将在7月21-22日将会有试营运的 #大型派对🎉 让你赶上最新潮最不一样体验的Night Life🪩✨ 走咯～是时候去发泄你的STRESS了💥💥💥
.
【 Pitt Club KL 】
📍地址：3rd Floor, Life Centre, No.20, Jalan Sultan Ismail, 50250 KL
⏰️营业时间：10pm-3am
📲预定电话：http://wa.link/pittclubkl or  017 322 7488 

🌐Facebook: http://www.facebook.com/pittclubkl
🌐Instagram：https://www.instagram.com/pittclubkl/
.
✏️Credit: #大码小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02b61KCnUgCT23zu7yUHkr4jbzwezSpTTrMGwZ8B3hvmUWTs4w41N51YUAVcwhq1ztl,Photo,171457,442,801,274,1517,1174,13638,14863,29675
,"#旅游kaki
Semenyih一日游❤
适合一家大小一起吃喝玩乐的好去处😊
.
【石哪督庙】
📍No. 4, Jalan Besar, 71750 Negeri Sembilan, Broga, 71750 Semenyih, Negeri Sembilan

【天天来生肉面专卖店】
📍79, Jalan Semenyih Sentral 5, Taman Semenyih Sentral, 43500 Semenyih, Selangor

【男朋友椰冰沙】
📍12, N34, Broga, 71750 Mantin, Negeri Sembilan

【Setia Mayuri Sales Gallery】
📍6, jalan mayuri 3/1a, setia mayuri, 43500 Semenyih, Selangor

【Raccoon Garden Cafe & Restaurant】
📍1, Persiaran Eco Forest 1, Eco Forest, 43500 Semenyih, Selangor

【Hill Top Eco Deer Ranch】
📍Jalan Ulu Beranang, Lenggeng, Malaysia

【罗汉椒仔煲】
📍B34, 43500 Semenyih, Selangor
.
✏️Credit: 长不大小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 Eclbet]",https://www.facebook.com/myeatkaki/posts/pfbid02vdH98dit3piQkSoKYVybQHbUfmDBqvYGzkdRm7WJ2KGH6AF4qWpZm2VWdPoRdVGQl,Photo,171265,141,748,659,1548,1,16556,1787,18319
古仔糖水铺开到1AM 还有甜品冰锅+小吃!‼️,"#甜品kaki
古仔糖水铺开到1AM
还有甜品冰锅+小吃!‼️
.
🌃经常半夜想吃特别的糖水，但是没有靓Spot去⁉️⁉️小编发现到📍Kuchai Lama 的【壹糖甜铺】就是营业到1AM✨✨ 这里的糖水不止特别，还好喝🤤
.
来到这里小编就被 #招牌甜品冰锅 给吸引了，里面有12种料➕1杯店家自制的椰奶🥥 里面还有 #雪燕和桃胶，一整个Collagen满满🌸 完全适合2-3个人一起share着吃！
.
一口就被amazing到的 #雪花冰系列，他们家打出来的冰和外面完全不一样🤩 每一口冰吃起来 #很绵很细🤤 尤其是 #芋泥雪花冰，上面淋的是纯芋泥🥰 少见的 #波波奶冻碗 和  #竹筒芒果冻这里也能找到‼️
.
#小吃系列 推荐点🧀️芋泥爆浆芝士饼 & 🍫西班牙油条 ，一口爆馅真的很邪恶😈
.
小鸟胃但是想要1次try完所有甜品❓现在只需要💰RM19.90就可以吃到1份热糖水➕1份雪花冰➕1份当日小吃，是不是真的很值得叻～😍 
.
#限时生日优惠🔥🔥🔥免费送你糖水喝🍧
👉只要在 #生日当月 向店家显示你的IC➕购买任何1份糖水/甜品，就可以 #免费任选1份 啦～
.
FB:https://www.facebook.com/YiTangDessert
IG: https://www.instagram.com/yi_tang_dessert
.
【 壹糖甜铺 】
📍KA1-1-8 kuchai avenue shop, Jalan kuchai entrepreneurs park, Jalan kuchai lama,58200,Kuala Lumpur.
🕕2pm - 1am
📱014-397 0388
.
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0zZRLiTuLgpdFyTgUvfc1bgM1UHoxuyu4bP9vdFZGwy8dmfi46hY5jTFQPN4x9WkAl,Video,170717,809,2013,1324,4146,179,,16305,20230
,"#爬山kaki
#Kepong📍 隐藏在城市的爬山好去处！⛰️
初学者30分钟攻顶❗️
.
Desa Park City📍鲜少人知道的 #爬山好去处——🌿【Sri Bintang Hill Trail】🌿这景点是小编经常去的，简单且不费时就能看到很美的风景啦～😍
.
Sri Bintang Hill Trail #初学者 也能轻松征服！😍海拔只有约150米，虽然简单，但风景绝不逊色，还能瞭望甲洞区的美景，非常适合那些刚开始爬山或体力稍差的kaki。
.
这个周末赶快去试试吧～
【Sri Bintang Hill Trail】
📍地址：Jalan 11/36, Taman Sri Bintang, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur
🚗走起：https://petalmaps.life/2p8pcstc
✅爬山必备：https://shope.ee/5zxYleyZe5
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @eclbet  ]",https://www.facebook.com/myeatkaki/posts/pfbid02gyHeU82PMaRGFs3knEYZjH8YSuesUaceQceB8pqvPcNWEyhaZUXur8PzschoGSWyl,Photo,167927,221,1780,359,2360,215,20820,8343,29378
,"#好康kaki
新家装修这样做🔥省好几万⁉️
📅7月21-23日｜The Starling Mall
一次过帮你省时省心省钱🤩
.
每次想到要装修买家具，头就很大～ 又要精打细算又想要买品质好不易坏的～
如果你正在筹备 #搬新家 / #改造装潢家具 ， 那你得学学这样做，竟然可以省很多🔥 现在你更可以到【MyHome 家具展】一次过看完所有的家具家电，还可以享 #福利和好礼🎁
.
📅7月21-23日，连续三天就在 The Starling Mall, Level 5, Event Hall！🏠 现场的家居产品从本地到国外的品牌应有尽有！电器、厨房电器、床上用品、沙发、衣柜、厨房橱柜，甚至到厨房用具、浴室配件、门窗户、保险安全系统等... #一站式的家具展，confirm买到你想要买的东西🏠
.
到场购买，更是超多好礼和优惠送给你，简直就是赚到了🤩
1⃣️【Day Day Give】
✅总价值高达RM70,000的现金礼券!!
✅每日派送出99份Day Day Give现金礼券,先到先得
✅ 现金礼券包括（没有最低消费）:
💰 RM3000 x 4份
💰 RM380 x 20份
💰 RM50 x 75份
- 参加条件 -
1）在单张收据消费满RM2000或以上
2）年满21岁或以上
.
2⃣️【 高达36个月的0%分期付款】
💃 轻松付款，无需一次付清全款费用
💳 更多付款选择！15个银行供你选择，让你梦想家居成真！
.
3⃣️【品牌折扣礼券】
💰免费领取高达RM1000的折扣礼券！
🛍️ 全场高达80%的折扣，再加上品牌礼券，绝对超值！
🎁 到现场的Info Counter 就可以立马领取免费品牌礼券！
.
4⃣️【兑换礼品】
🎁单张收据，消费满RM500或以上，即可获得超级实用的礼物！
.
5⃣️【Register & Win】
🎯简单的步骤！只要 Scan QR code，填上资料就有机会获得丰富礼品哦!!
.
【MyHome 家具展】就快来啦，赶快和家人预定好日期来抢货咯💪
📅日期：2023年7月21日至23日
⏰时间：11am – 9pm 
📍地点：The Starling Mall, Level 5, Event Hall
.
🔗Facebook: https://www.facebook.com/myhomeexhibition
🔗官网:https://my-home.com.my/
.
✏️Credit: #大码小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0HB6G42ap3sZAKDaADS5fWz2J591SUWDSxovzbsjiReFFiZWzoVmVioJad685n3Evl,Photo,166651,18,372,225,615,24,16079,1905,18008
,"#资讯kaki 
⚠小心拿不到钱‼需符合16种情况！
可申请EPF部分或全额提款‼
.
大家常说的“#养老金”EPF，退休以后可以拿出来用，省下很多麻烦。可是你真的知道 #EPF的用处 吗？🤨不是什么时候都能提款成功的！⚠如果现在你正需要一笔钱应急，存放在EPF的钱可以提款出来吗？🤔其实是可以的哦！💰只需要符合提款条件就可以啦～
.
➡️首先，我们需要了解申请提取EPF的【16种必要条件】，共分成“#部分提款”（Partial Withdrawal）以及“#全额提款”（Full Withdrawal）2种情况。
1️⃣部分提款（Partial Withdrawal）: 公积金第二户口（Account 2）提款申请条件
2️⃣全额提款（Full Withdrawal）- 公积金第二户口（Account 2）提款申请条件
.
更多详情可以 #浏览KWSP官网：🔗https://www.kwsp.gov.my/en/member/withdrawals
.
✏️credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @Eclbet  ]",https://www.facebook.com/myeatkaki/posts/pfbid02D7k2e4EKyxMMq4bYLUJ43HtHb7SwfKzcU5uZi6F1wmyQwfBaGy1Az4Nha94f5xQel,Photo,159437,70,850,898,1818,150,28253,2648,31050
,"1碗20多粒耗汤，每颗都新鲜大粒！
.
【 顺记潮州海鲜面家 】
📍 28, Jalan Jejaka 7, Maluri, 55100 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia
🕕 7:30am - 4:00pm
📱016 2228656
.
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @𝐄𝐂𝐋𝐁𝐄𝐓 ]",https://www.facebook.com/reel/3532257883660270/,FB reel,159419,415,2535,1369,4319,,,,
,"kepong 无招牌炒板面
40年经验自制手工面
.
#板面kaki 看过来‼隐藏在Kepong的 #住家式无招牌炒板面，满满猪油渣和蒜米辣椒，JENG👍👍👍
.
这家隐藏在住家的炒面档——【Kepong炒板面】🍝，已经经营了4️⃣0️⃣ 多年，面条都是老板手工自制的，Q弹可口！ 一定要配上他们的灵魂蒜米辣椒！
.
【Kepong炒板面】
📍地址：405A, Jalan 14/39, Kepong Ulu Firm, 52100 Kuala Lumpur
⏰营业时间：7:00am - 1:00pm (周二休息)
.
✏️credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 Eclbet ]",https://www.facebook.com/myeatkaki/posts/pfbid032k6wJLVkAVDwjs5KCYDW5wPkqmKWbc1avcF8RuNxpMGGxAacMLhpGUL5c7XXQBNEl,Photo,139492,252,639,369,1260,,10719,2411,13130
全马唯一荣获泰国精选的✨ Thai In Mookata🔥🇹🇭,"#揾食kaki 
全马唯一荣获泰国精选的✨
Thai In Mookata🔥🇹🇭
.
KL这么多家的泰式Mookata唯独这家【 Thai In Mookata 】竟然可以荣获泰国🇹🇭认证位精选餐厅？！ 到底有什么好料可以酱厉害🤔
.
他们家的食材大多数都是从泰国进口，所以肯定能吃到很thai的口感～
另外他们的食材非常的新鲜而且也真材实料，必点的 #虾滑，就连老虎虾肉都吃得到🤤
吃Mookata不可错过的就是 #猪肉片 啦🔥几乎没有猪骚味因为是必须经过15层的process‼️
.
另外还有非常多的泰式研制肉料、小吃、肉碎饭等，统统叫来吃thai爽！
当然还不要忘了一定要搭配清凉皆可的Longan Fever🥤，一口肉配一口饮料❗️Thai Mookata就是要这样吃啦🔥
.
【 Thai In Mookata 】
𝐒𝐞𝐭𝐚𝐩𝐚𝐤 𝐎𝐮𝐭𝐥𝐞𝐭
☎️ Hotline: 03-4131 7128
Waze: https://waze.com/ul/hw2865p84u

𝐎𝐥𝐝 𝐊𝐥𝐚𝐧𝐠 𝐑𝐨𝐚𝐝 𝐎𝐮𝐭𝐥𝐞𝐭
☎️ Hotline: 03-7971 5581
Waze: https://waze.com/ul/hw2839emyz

𝐊𝐞𝐩𝐨𝐧𝐠 𝐎𝐮𝐭𝐥𝐞𝐭
☎️ Hotline: 03-6243 4600
Waze: https://waze.com/ul/hw2862c6d0

𝐒𝐮𝐛𝐚𝐧𝐠 𝐎𝐮𝐭𝐥𝐞𝐭
☎️ Hotline: 03-5613 0033
Waze: https://waze.com/ul/hw281ryt6f

𝐂𝐡𝐞𝐫𝐚𝐬 𝐓𝐫𝐚𝐝𝐞𝐫𝐬 𝐒𝐪𝐮𝐚𝐫𝐞 𝐎𝐮𝐭𝐥𝐞𝐭
☎️ Hotline: 03-9081 5305
Waze: https://waze.com/ul/hw28378qnc

𝐑𝐚𝐰𝐚𝐧𝐠 𝐎𝐮𝐭𝐥𝐞𝐭
☎️ Hotline: 03-6736 9003
Waze: https://waze.com/ul/hw284ys0kj
.
Facebook： https://www.facebook.com/ThaiInMookata?mibextid=ZbWKwL
Instagram：https://www.instagram.com/thaiinmookata/?hl=en
Website：https://thaiin.my/
.
✏️Content Creator： #大码小编
🎤Host： Jofia
📹 Videographer：Xin Tong
🎬Editor：Xin Tong
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0GE3ogeZJK169nzWQVfXpi9cYh5idMxNpFgCZzxKkNkmr2cXDV2LAYCDWRKzUTos9l,Video,137290,114,671,248,1033,415,,9484,14247
半露天古早羊腩煲🍲 还有生虾/鸡煲吃😋,"#揾食kaki 
半露天古早羊腩煲🍲
还有生虾/鸡煲吃😋
.
Old Klang Road📍越来越热闹了🎉现在还有 #羊腩煲 可以吃🤤
【 Daxia Kl.大侠炭火羊腩煲 KL 】的羊腩煲汤底熬煮到很浓很够味，而且里面的料满满🔥羊肉更是炖到软嫩🤩如果不爱吃羊肉，你也可以选择换成鸡煲都没问题哦👌
.
另外还有5种锅煲可以选择，像是另一个招牌 #金瓜芝士生虾煲，喜欢吃浓郁海鲜口味的kaki，这锅就非常适合啦✨ 多人来吃想要加料，另外还有很多 #火锅料 可以点，完全不怕吃不饱👍
.
饭后想要继续跟朋友吹水，这里还提供多种 #清爽饮料，像是汽水、凉茶、啤酒等🍻再搭配店内特制的 #凉拌小菜和小吃 ，简直就是完美🤩 Jio吃饭新地方❗️你还在等什么🔥
.
【 Daxia Kl.大侠炭火羊腩煲 KL 】
📍 OKR AUTO CITY LOT 4426F Jalan Klang Lama 58000 Kuala Lumpur 58000
🕕 4pm- 12am
📱012-615 6077
.
Facebook: https://www.facebook.com/DAHUPKL
.
✏️Content Creator： #大码小编
🎤Host： #大码小编
📹 Videographer：Xin Tong
🎬Editor：Amy
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02P1K9hETZwZ4jJwMW69Tkt9VQguGbNaKwgRAsqCVcgb3bFptDyUwvnrqi4Pdamawwl,Video,136506,82,843,255,1180,44,,8215,11704
,"#资讯kaki
酱油还是生抽❓❓
大马常见调味料懒人包✨
.
平时进厨房， 太多瓶瓶罐罐的调味料，根本分不清？？今天小编就来一次过告诉你这些 #常见的调味料 都是什么&能怎么用😍
🛒Shopee: https://shope.ee/7f5ptVjtot
.
✏️Credit By：#咩小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询!
[感谢赞助商，要玩就要玩最安全的 Eclbet  ]",https://www.facebook.com/myeatkaki/posts/pfbid0ZHbsH2DCGdw3EodSmxPxMMiYzEqW2Qy1STBfatKjmGtFU6RB4dN91wQTRqbbVT1ul,Photo,136437,33,341,430,804,1,14163,1030,15194
